GroupCompany,Domain,DomainType
PT Alun Alun Indonesia Kreasi,alunalunindonesia.com,Azure
PT Kinokunia Bukindo,kinokuniya.co.id,Azure
PT Out Of Asia,ooa-indonesia.com,Azure
PT Panen GL Indonesia,galerieslafayette.co.id,Azure
PT Panen Lestari Indonesia,sogo.co.id,Azure
PT Panen Selaras Intibuana,seibu.co.id,Azure
PT Panen Kreasi Indonesia,ilm.id,Azure
PT Swalayan Sukses Abadi,foodhall.co.id,Azure
PT Map Aktif Adiperkasa,map.co.id,ADFS
PT Mitra Gaya Indah,map.co.id,ADFS
PT Mitra Garindo Perkasa,map.co.id,ADFS
PT Putra Agung Lestari,map.co.id,ADFS
PT Mitra Akademi Perkasa,map.co.id,ADFS
PT Mitra Adiperkasa Tbk,map.co.id,ADFS
PT Creasi Mode Indonesia,map.co.id,ADFS
PT Mitra Fashindo Abadi,map.co.id,ADFS
PT Mitra Selaras Sempurna,map.co.id,ADFS
PT Panen Wangi Abadi,map.co.id,ADFS
PT Omega Fashion Adiperkasa,map.co.id,ADFS
PT Bersama Karunia Mandiri,map.co.id,ADFS
PT Mitramode Duta Fashindo,map.co.id,ADFS
PT Prima Buana Perkasa,map.co.id,ADFS
PT Sukses Diva Mandiri,map.co.id,ADFS
PT Sarimode Fashindo Adiperkasa,map.co.id,ADFS
PT Sarimode Griya,map.co.id,ADFS
PT Map Zona Adiperkasa,map.co.id,ADFS
PT Mapple Mitra Adiperkasa,map.co.id,ADFS
PT Dom Pizza Indonesia,map.co.id,ADFS
PT Agung Mandiri Lestari,map.co.id,ADFS
PT Map Boga Adiperkasa,map.co.id,ADFS
PT Premier Doughnut Indonesia,map.co.id,ADFS
PT Sari Coffee Indonesia,map.co.id,ADFS
PT Sari Food Lestari,map.co.id,ADFS
PT Sari Icecream Indonesia,map.co.id,ADFS
PT Sari Pizza Indonesia,map.co.id,ADFS
PT Sari Sandwich Indonesia,map.co.id,ADFS
PT Kosmetik Lestari Adiperkasa,map.co.id,ADFS
PT Panen Selaras Adiperkasa,map.co.id,ADFS
PT Samsonite Indonesia,map.co.id,ADFS
